
http://sk-blankenloch.bsv-schach.de/ | SKIP | Simple HTML site; has Termine.pdf link but no structured event listings on page
http://stutensee.bund.net/ | SKIP | Old BUND page - "Diese Seite wird nicht mehr gepflegt". Points to new site at bund-mittlerer-oberrhein.de. Has a "Termine" page (likely empty) and PDF Jahresprogramm.
http://stutensee.bund.net/ | SKIP | Outdated site - redirects to bund-mittlerer-oberrhein.de; old site has Termine but no current events
http://tvspoeck.de/ | SKIP | Joomla site for TV 1896 Spöck e.V. with many departments (Fußball, Turnen, etc.); RSS feed; no dedicated event calendar found on homepage; has Berichte section instead
http://www.1482ev.de/ | SKIP | Blocked by Cloudflare JS challenge, cannot access content
http://www.autumnus-medievalis.de/ | SKIP | Transport error - could not load (site may be down).
http://www.blankenlocher-hardtwaldhexen.de/ | SKIP | Static WordPress site. No events, no calendar, no Termine page. Only general club info.
http://www.cvjm-blankenloch-buechig.de/ | SKIP | Old frameset HTML site. No structured events visible from frameset root.
http://www.fluechtlingshilfe-stutensee.de | SKIP | Termine page shows "Keine Termine"; site has news/blog but no structured events
http://www.gsv-saengerbund.de/ | SKIP | Basic site with rehearsal schedule; "Chorproben/Termine" page exists but no dated events
http://www.gv-concordia-blankenloch.de/ | 3 | Aktuelles: Jahreshauptversammlung on 17. Apr 2026, Weihnachtsfeier (Dec 2025), Männerchor beim Volkstrauertag (Nov 2025)
http://www.little-creek.de/ | 3 | Western hobby club with dedicated Veranstaltungen page (archiv, current events)
http://www.msc-blankenloch.de/ | 7 | Motorsport club with Termine page listing club evenings (April-May 2026), RSS feed
http://www.stutensee.com/klzv-c317/ | SKIP | Very basic static homepage; no events
http://www.ttc-staffort.de | SKIP | Joomla site with news/blog articles about table tennis; RSS feed; regular training schedule listed but no event calendar
http://www.ttf-spoeck.de/ | 1 | 2er Mannschaftsturnier on 09.05.2026 at 14:00 in Spechaahalle; registration via Google Forms; regular training times listed; match results on mytischtennis.de
http://www.vdh-stutensee.de/ | SKIP | Google Sites page; mentions 1.Mai Hähnchengrillfest but no structured event calendar
http://www.vogelfreunde-staffort.de/ | SKIP | Domain parked (redirects to web.de parking page); no content
http://www.werkstatt87.de | 6 | Model railway club with Termine page; has upcoming events (Stammtisch 06.05.2026, exhibitions in 2026)
https://bc-spoeck.de/ | 1 | Badminton Club Spöck. WordPress blog with RSS feed (https://bc-spoeck.de/feed/). Blog posts about club activities but no structured events calendar.
